pathway,pathway_label
HALLMARK_ADIPOGENESIS,Adipogenesis
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection
HALLMARK_ANDROGEN_RESPONSE,Androgen Response
HALLMARK_ANGIOGENESIS,Angiogenesis
HALLMARK_APICAL_JUNCTION,Apical Junction
HALLMARK_APICAL_SURFACE,Apical Surface
HALLMARK_APOPTOSIS,Apoptosis
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis
HALLMARK_COAGULATION,Coagulation
HALLMARK_COMPLEMENT,Complement
HALLMARK_DNA_REPAIR,DNA Repair
HALLMARK_E2F_TARGETS,E2F Targets
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial-Mesenchymal Transition
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism
HALLMARK_G2M_CHECKPOINT,G2/M Checkpoint
HALLMARK_GLYCOLYSIS,Glycolysis
HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling
HALLMARK_HEME_METABOLISM,Heme Metabolism
HALLMARK_HYPOXIA,Hypoxia
HALLMARK_IL2_STAT5_SIGNALING,IL2/STAT5 Signaling
HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6/JAK/STAT3 Signaling
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling DN
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling UP
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle
HALLMARK_MTORC1_SIGNALING,MTORC1 Signaling
HALLMARK_MYC_TARGETS_V1,MYC Targets V1
HALLMARK_MYC_TARGETS_V2,MYC Targets V2
HALLMARK_MYOGENESIS,Myogenesis
HALLMARK_NOTCH_SIGNALING,Notch Signaling
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation
HALLMARK_P53_PATHWAY,P53 Pathway
HALLMARK_PANCREAS_BETA_CELLS,Pancrease Beta Cells
HALLMARK_PEROXISOME,Peroxisome
HALLMARK_PI3K_AKT_MTOR_SIGNALING,PI3K/AKT/mTOR Signaling
HALLMARK_PROTEIN_SECRETION,Protein Secretion
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,ROS Pathway
HALLMARK_SPERMATOGENESIS,Spermatogenesis
HALLMARK_TGF_BETA_SIGNALING,TGFβ Signaling
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFβ Signaling via NFκB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response
HALLMARK_UV_RESPONSE_DN,UV Response DN
HALLMARK_UV_RESPONSE_UP,UV Response UP
HALLMARK_WNT_BETA_CATENIN_SIGNALING,WNT/β-Catenin Signaling
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism
